id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus
1,little-penguin,Little Penguin,Eudyptula minor,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
2,black-swan,Black Swan,Cygnus atratus,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
3,greater-crested-tern,Greater Crested Tern,Thalasseus bergii,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
4,australian-sea-lion,Australian Sea Lion,Neophoca cinerea,seal_sea_lion,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
5,christmas-island-frigatebird,Christmas Island Frigatebird,Fregata andrewsi,bird,,,extreme,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
6,abbotts-booby,Abbott's Booby,Papasula abbotti,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
7,australasian-bittern,Australasian Bittern,Botaurus poiciloptilus,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
8,australasian-gannet,Australasian Gannet,Morus serrator,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
9,australian-fur-seal,Australian Fur Seal,Arctocephalus pusillus doriferus,seal_sea_lion,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
10,australian-pelican,Australian Pelican,Pelecanus conspicillatus,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
11,baudins-black-cockatoo,Baudin's Black Cockatoo,Zanda baudinii,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
12,blue-billed-duck,Blue-billed Duck,Oxyura australis,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
13,brush-tailed-rock-wallaby,Brush-tailed Rock-wallaby,Petrogale penicillata,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
14,carnabys-black-cockatoo,Carnaby's Black Cockatoo,Zanda latirostris,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
15,central-rock-rat,Central Rock-rat,Zyzomys pedunculatus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
16,dingo-warragul,Dingo / Warragul,Canis dingo,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
17,eastern-barred-bandicoot,Eastern Barred Bandicoot,Perameles gunnii,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
18,eastern-bristlebird,Eastern Bristlebird,Dasyornis brachypterus,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
19,eastern-quoll,Eastern Quoll,Dasyurus viverrinus,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
20,far-eastern-curlew,Far Eastern Curlew,Numenius madagascariensis,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
21,greater-bilby,Greater Bilby,Macrotis lagotis,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
22,greater-stick-nest-rat,Greater Stick-nest Rat,Leporillus conditor,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
23,helmeted-honeyeater,Helmeted Honeyeater,Lichenostomus melanops cassidix,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
24,leadbeaters-possum,Leadbeater's Possum,Gymnobelideus leadbeateri,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
25,magpie-goose,Magpie Goose,Anseranas semipalmata,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
26,mala-rufous-hare-wallaby,Mala (Rufous Hare-wallaby),Lagorchestes hirsutus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
27,mallee-emu-wren,Mallee Emu-wren,Stipiturus mallee,bird,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
28,mountain-pygmy-possum,Mountain Pygmy-possum,Burramys parvus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
29,new-holland-mouse,New Holland Mouse,Pseudomys novaehollandiae,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
30,new-zealand-fur-seal,New Zealand Fur Seal,Arctocephalus forsteri,seal_sea_lion,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
31,numbat,Numbat,Myrmecobius fasciatus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
32,orange-bellied-parrot,Orange-bellied Parrot,Neophema chrysogaster,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
33,parma-wallaby,Parma Wallaby,Notamacropus parma,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
34,plains-wanderer,Plains-wanderer,Pedionomus torquatus,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
35,platypus,Platypus,Ornithorhynchus anatinus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
36,quokka,Quokka,Setonix brachyurus,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
37,rakali-water-rat,Rakali (Water-rat),Hydromys chrysogaster,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
38,recherche-cape-barren-goose,Recherche Cape Barren Goose,Cereopsis novaehollandiae hollandiaegregis,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
39,red-tailed-phascogale,Red-tailed Phascogale,Phascogale calura,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
40,regent-honeyeater,Regent Honeyeater,Anthochaera phrygia,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
41,short-tailed-shearwater,Short-tailed Shearwater,Puffinus tenuirostris,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
42,shy-albatross,Shy Albatross,Thalassarche cauta,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
43,smoky-mouse,Smoky Mouse,Pseudomys fumeus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
44,southern-brown-bandicoot,Southern Brown Bandicoot,Isoodon obesulus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started
45,spotted-tailed-quoll,Spotted-tailed Quoll,Dasyurus maculatus,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
46,subantarctic-fur-seal,Subantarctic Fur Seal,Arctocephalus tropicalis,seal_sea_lion,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
47,swift-parrot,Swift Parrot,Lathamus discolor,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
48,tasmanian-devil,Tasmanian Devil,Sarcophilus harrisii,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
49,tasmanian-masked-owl,Tasmanian Masked Owl,Tyto novaehollandiae castanops,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started
50,tasmanian-wedge-tailed-eagle,Tasmanian Wedge-tailed Eagle,Aquila audax fleayi,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
51,wedge-tailed-eagle,Wedge-tailed Eagle,Aquila audax,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
52,western-ground-parrot,Western Ground Parrot,Pezoporus flaviventris,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started
53,anous-tenuirostris-melanops,Houtman Abrolhos Lesser Noddy,Anous tenuirostris melanops,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
54,pterodroma-heraldica,Herald Petrel,Pterodroma heraldica,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
55,leucocarbo-atriceps-nivalis,"Imperial Shag (Heard Island), Heard Shag",Leucocarbo atriceps nivalis,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
56,leucocarbo-atriceps-purpurascens,Imperial Shag (Macquarie Island),Leucocarbo atriceps purpurascens,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
57,stenella-longirostris,Long-snouted Spinner Dolphin,Stenella longirostris,mammal,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started
