id,slug,commonName,scientificName,taxonGroup,endemic,conservationStatus,fluRisk,fluStatus,fluStatusUpdatedAt,regions,bio,endemicVerified,endemicSourceUrl,conservationStatusVerified,conservationStatusSourceUrl,fluRiskVerified,fluRiskSourceUrl,researchStatus,alaGuid,endemicCandidate,endemicCandidateNotes,conservationStatusCandidate,conservationStatusCandidateRaw,bioCandidate,imageUrlCandidate,imageAttributionCandidate,fluStatusCandidate,scriptStatus,scriptError
1,little-penguin,Little Penguin,Eudyptula minor,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/e0c68347-165c-4bff-b74a-005616df9791,,,,,,,,,done,
2,black-swan,Black Swan,Cygnus atratus,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/e848916c-5f2d-43ef-8cba-8e32a9034377,,,,,,,,,done,
3,greater-crested-tern,Greater Crested Tern,Thalasseus bergii,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/1441c509-faf3-405e-a534-c51cccc4d720,,,,,,,,,done,
4,australian-sea-lion,Australian Sea Lion,Neophoca cinerea,seal_sea_lion,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/68942162-d312-4934-b633-aee95c166e00,,,,,,,,,done,
5,christmas-island-frigatebird,Christmas Island Frigatebird,Fregata andrewsi,bird,,,extreme,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/a34dfb52-93d0-4e83-a8e6-470a98ba7d64,,,,,,,,,done,
6,abbotts-booby,Abbott's Booby,Papasula abbotti,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/98dbf46a-2d65-4d23-b1d1-e5f31efe94e0,,,,,,,,,done,
7,australasian-bittern,Australasian Bittern,Botaurus poiciloptilus,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/dba78701-cae9-4afb-a41a-6697c52c5e34,,,,,,,,,done,
8,australasian-gannet,Australasian Gannet,Morus serrator,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/cf17c9bb-09d1-47ce-adfe-dc060ba0b04c,,,,,,,,,done,
9,australian-fur-seal,Australian Fur Seal,Arctocephalus pusillus doriferus,seal_sea_lion,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/d0175177-efb1-4984-af69-46187e06c81d,,,,,,,,,done,
10,australian-pelican,Australian Pelican,Pelecanus conspicillatus,bird,,,very_high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/43abe3ea-7ccc-41cc-920f-d9cfa107207e,,,,,,,,,done,
11,baudins-black-cockatoo,Baudin's Black Cockatoo,Zanda baudinii,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/cff21565-2bc4-4a67-8c0c-600ae7c10fd8,,,,,,,,,done,
12,blue-billed-duck,Blue-billed Duck,Oxyura australis,bird,,,high,,,,,FALSE,,FALSE,,TRUE,https://www.dcceew.gov.au/sites/default/files/documents/national-risk-scores-h5-bird-flu-native-birds-mammals.pdf,not_started,https://biodiversity.org.au/afd/taxa/655adcf7-5bb5-4f94-a0fb-0d5b2f75fba8,,,,,,,,,done,
13,brush-tailed-rock-wallaby,Brush-tailed Rock-wallaby,Petrogale penicillata,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/9605957e-396d-43b5-9025-997e1fee039a,,,,,,,,,done,
14,carnabys-black-cockatoo,Carnaby's Black Cockatoo,Zanda latirostris,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/4072e7ce-7ca4-4112-a9fa-c49a0f0ddd4d,,,,,,,,,done,
15,central-rock-rat,Central Rock-rat,Zyzomys pedunculatus,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/90c13414-5069-4125-8b56-0b5c59a752e3,,,,,,,,,done,
16,dingo-warragul,Dingo / Warragul,Canis dingo,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/068eb94e-4904-4b69-b5ff-d347903cdd5b,,,,,,,,,done,
17,eastern-barred-bandicoot,Eastern Barred Bandicoot,Perameles gunnii,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/76bbd715-5428-429d-a00a-92835ce695e4,,,,,,,,,done,
18,eastern-bristlebird,Eastern Bristlebird,Dasyornis brachypterus,bird,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/5a760ca8-e6c7-4465-a113-3eaf26b170cb,,,,,,,,,done,
19,eastern-quoll,Eastern Quoll,Dasyurus viverrinus,mammal,,,medium,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/1e9f1b49-78b5-409d-91f2-21615ce88e9d,,,,,,,,,done,
20,far-eastern-curlew,Far Eastern Curlew,Numenius madagascariensis,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/5ff29bca-f02f-468f-9f96-9ae956015e01,,,,,,,,,done,
21,greater-bilby,Greater Bilby,Macrotis lagotis,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/d4fe643e-881f-49de-a8c9-628d5bce2e24,,,,,,,,,done,
22,greater-stick-nest-rat,Greater Stick-nest Rat,Leporillus conditor,mammal,,,low,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/cce5d053-414a-40e0-87bd-ab8012287068,,,,,,,,,done,
23,helmeted-honeyeater,Helmeted Honeyeater,Lichenostomus melanops cassidix,bird,,,high,,,,,FALSE,,FALSE,,FALSE,,not_started,https://biodiversity.org.au/afd/taxa/c74c3d35-c98c-4ef0-93bf-b9b6ace016b1,,,,,,,,,done,
